Dataset Name,Algorithm Name,Cross Validation [1 - 10],Hyper-Parameters Values,Accuracy,TPR,FPR, Precision,AUC,PR-Curve,Training Time,Inference Time
meta, BROOF, 1, n_trees: 15 | M: 5 | , 0.92, 1.00, 0.80, 0.92, 0.60, 0.92, 6.65, 0.15
meta, XGBoost, 1, n_trees: 15 | M: 5 | , 0.92, 1.00, 0.80, 0.92, 0.60, 0.92, 1.17, 0.00
meta, BROOF, 2, n_trees: 5 | M: 5 | , 0.51, 0.54, 0.80, 0.87, 0.37, 0.88, 7.07, 0.00
meta, XGBoost, 2, n_trees: 5 | M: 5 | , 0.85, 0.92, 0.80, 0.92, 0.56, 0.92, 1.17, 0.00
meta, BROOF, 3, n_trees: 5 | M: 2 | , 0.70, 0.73, 0.60, 0.92, 0.56, 0.92, 6.00, 0.00
meta, XGBoost, 3, n_trees: 5 | M: 2 | , 0.94, 0.98, 0.40, 0.96, 0.79, 0.96, 1.15, 0.00
meta, BROOF, 4, n_trees: 10 | M: 5 | , 0.92, 1.00, 0.80, 0.92, 0.60, 0.92, 7.18, 0.19
meta, XGBoost, 4, n_trees: 10 | M: 5 | , 0.89, 0.96, 0.80, 0.92, 0.58, 0.92, 1.17, 0.00
meta, BROOF, 5, n_trees: 5 | M: 2 | , 0.89, 1.00, 1.00, 0.89, 0.50, 0.89, 6.09, 0.00
meta, XGBoost, 5, n_trees: 5 | M: 2 | , 0.91, 0.98, 0.67, 0.92, 0.66, 0.92, 1.20, 0.00
meta, BROOF, 6, n_trees: 10 | M: 5 | , 0.89, 1.00, 1.00, 0.89, 0.50, 0.89, 7.09, 0.15
meta, XGBoost, 6, n_trees: 10 | M: 5 | , 0.89, 1.00, 1.00, 0.89, 0.50, 0.89, 1.14, 0.00
meta, BROOF, 7, n_trees: 5 | M: 15 | , 0.26, 0.30, 1.00, 0.70, 0.15, 0.83, 7.09, 0.19
meta, XGBoost, 7, n_trees: 5 | M: 15 | , 0.26, 0.30, 1.00, 0.70, 0.15, 0.83, 1.04, 0.00
meta, BROOF, 8, n_trees: 20 | M: 10 | , 0.47, 0.53, 1.00, 0.81, 0.27, 0.84, 6.94, 0.38
meta, XGBoost, 8, n_trees: 20 | M: 10 | , 0.87, 0.94, 0.67, 0.92, 0.63, 0.91, 1.15, 0.04
meta, BROOF, 9, n_trees: 5 | M: 2 | , 0.38, 0.32, 0.00, 1.00, 0.66, 0.93, 6.12, 0.00
meta, XGBoost, 9, n_trees: 5 | M: 2 | , 0.38, 0.32, 0.00, 1.00, 0.66, 0.93, 1.10, 0.00
meta, BROOF, 10, n_trees: 20 | M: 15 | , 0.90, 1.00, 1.00, 0.90, 0.50, 0.90, 7.01, 0.56
meta, XGBoost, 10, n_trees: 20 | M: 15 | , 0.96, 1.00, 0.40, 0.96, 0.80, 0.96, 1.15, 0.00
mfeat-karhunen, BROOF, 1, n_trees: 15 | M: 15 | , 0.94, 0.95, 0.01, 0.95, 1.00, 1.00, 22.79, 0.15
mfeat-karhunen, XGBoost, 1, n_trees: 15 | M: 15 | , 0.95, 0.95, 0.01, 0.96, 1.00, 1.00, 28.86, 0.01
mfeat-karhunen, BROOF, 2, n_trees: 20 | M: 2 | , 0.96, 0.97, 0.00, 0.97, 1.00, 1.00, 19.66, 0.04
mfeat-karhunen, XGBoost, 2, n_trees: 20 | M: 2 | , 0.95, 0.95, 0.01, 0.95, 1.00, 1.00, 30.34, 0.05
mfeat-karhunen, BROOF, 3, n_trees: 10 | M: 5 | , 0.98, 0.98, 0.00, 0.98, 1.00, 1.00, 25.17, 0.01
mfeat-karhunen, XGBoost, 3, n_trees: 10 | M: 5 | , 0.97, 0.97, 0.00, 0.97, 1.00, 1.00, 30.15, 0.00
mfeat-karhunen, BROOF, 4, n_trees: 20 | M: 2 | , 0.96, 0.96, 0.00, 0.96, 0.99, 1.00, 25.10, 0.05
mfeat-karhunen, XGBoost, 4, n_trees: 20 | M: 2 | , 0.95, 0.95, 0.01, 0.95, 1.00, 1.00, 29.89, 0.00
mfeat-karhunen, BROOF, 5, n_trees: 20 | M: 15 | , 0.94, 0.95, 0.01, 0.95, 0.99, 1.00, 28.11, 0.15
mfeat-karhunen, XGBoost, 5, n_trees: 20 | M: 15 | , 0.95, 0.95, 0.01, 0.96, 1.00, 1.00, 29.27, 0.00
mfeat-karhunen, BROOF, 6, n_trees: 5 | M: 2 | , 0.88, 0.88, 0.01, 0.89, 0.98, 1.00, 18.13, 0.00
mfeat-karhunen, XGBoost, 6, n_trees: 5 | M: 2 | , 0.95, 0.95, 0.01, 0.95, 1.00, 1.00, 30.15, 0.00
mfeat-karhunen, BROOF, 7, n_trees: 5 | M: 15 | , 0.96, 0.96, 0.00, 0.96, 1.00, 1.00, 20.07, 0.05
mfeat-karhunen, XGBoost, 7, n_trees: 5 | M: 15 | , 0.94, 0.94, 0.01, 0.94, 1.00, 1.00, 29.92, 0.00
mfeat-karhunen, BROOF, 8, n_trees: 20 | M: 5 | , 0.95, 0.95, 0.01, 0.95, 1.00, 1.00, 28.43, 0.05
mfeat-karhunen, XGBoost, 8, n_trees: 20 | M: 5 | , 0.96, 0.96, 0.00, 0.96, 1.00, 1.00, 29.97, 0.00
mfeat-karhunen, BROOF, 9, n_trees: 5 | M: 2 | , 0.92, 0.92, 0.01, 0.92, 0.99, 1.00, 16.47, 0.04
mfeat-karhunen, XGBoost, 9, n_trees: 5 | M: 2 | , 0.95, 0.96, 0.01, 0.96, 1.00, 1.00, 30.18, 0.05
mfeat-karhunen, BROOF, 10, n_trees: 5 | M: 10 | , 0.96, 0.96, 0.00, 0.97, 1.00, 1.00, 26.51, 0.00
mfeat-karhunen, XGBoost, 10, n_trees: 5 | M: 10 | , 0.97, 0.97, 0.00, 0.98, 1.00, 1.00, 30.17, 0.05
mfeat-morphological, BROOF, 1, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 10.29, 0.10
mfeat-morphological, XGBoost, 1, n_trees: 15 | M: 15 | , 0.98, 0.90, 0.01, 0.95, 0.95, 0.86, 0.71, 0.04
mfeat-morphological, BROOF, 2, n_trees: 15 | M: 15 | , 0.99, 1.00, 0.01, 0.95, 1.00, 0.95, 8.47, 0.10
mfeat-morphological, XGBoost, 2, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.71, 0.00
mfeat-morphological, BROOF, 3, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.62, 0.05
mfeat-morphological, XGBoost, 3, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.70, 0.00
mfeat-morphological, BROOF, 4, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.89, 0.00
mfeat-morphological, XGBoost, 4, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.70, 0.00
mfeat-morphological, BROOF, 5, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.91, 0.10
mfeat-morphological, XGBoost, 5, n_trees: 15 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.69, 0.00
mfeat-morphological, BROOF, 6, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.56, 0.01
mfeat-morphological, XGBoost, 6, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.68, 0.08
mfeat-morphological, BROOF, 7, n_trees: 15 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 8.72, 0.09
mfeat-morphological, XGBoost, 7, n_trees: 15 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 0.67, 0.00
mfeat-morphological, BROOF, 8, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.99, 0.05
mfeat-morphological, XGBoost, 8, n_trees: 5 | M: 15 | , 0.99, 1.00, 0.01, 0.95, 1.00, 0.95, 0.70, 0.00
mfeat-morphological, BROOF, 9, n_trees: 15 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 8.43, 0.14
mfeat-morphological, XGBoost, 9, n_trees: 15 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 0.66, 0.00
mfeat-morphological, BROOF, 10, n_trees: 5 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 8.34, 0.05
mfeat-morphological, XGBoost, 10, n_trees: 5 | M: 15 | , 0.99, 0.95, 0.00, 1.00, 0.97, 0.95, 0.67, 0.00
molec-biol-promoter, BROOF, 1, n_trees: 15 | M: 5 | , 0.91, 1.00, 0.17, 0.83, 0.92, 0.83, 6.51, 0.00
molec-biol-promoter, XGBoost, 1, n_trees: 15 | M: 5 | , 0.91, 1.00, 0.17, 0.83, 0.92, 0.83, 0.60, 0.00
molec-biol-promoter, BROOF, 2, n_trees: 20 | M: 10 | , 0.91, 1.00, 0.17, 0.83, 0.92, 0.83, 5.01, 1.67
molec-biol-promoter, XGBoost, 2, n_trees: 20 | M: 10 | , 0.91, 1.00, 0.17, 0.83, 0.92, 0.83, 0.61, 0.00
molec-biol-promoter, BROOF, 3, n_trees: 5 | M: 2 | , 0.91, 0.80, 0.00, 1.00, 0.90, 0.89, 5.63, 0.00
molec-biol-promoter, XGBoost, 3, n_trees: 5 | M: 2 | , 0.82, 0.60, 0.00, 1.00, 0.80, 0.78, 0.61, 0.00
molec-biol-promoter, BROOF, 4, n_trees: 10 | M: 2 | , 0.82, 0.67, 0.00, 1.00, 0.83, 0.85, 6.04, 0.00
molec-biol-promoter, XGBoost, 4, n_trees: 10 | M: 2 | , 0.91, 1.00, 0.20, 0.86, 0.90, 0.86, 0.60, 0.00
molec-biol-promoter, BROOF, 5, n_trees: 5 | M: 2 | , 0.64, 0.67, 0.40, 0.67, 0.63, 0.63, 4.74, 0.19
molec-biol-promoter, XGBoost, 5, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.61, 0.00
molec-biol-promoter, BROOF, 6, n_trees: 10 | M: 5 | , 0.73, 1.00, 0.60, 0.67, 0.70, 0.67, 6.42, 0.74
molec-biol-promoter, XGBoost, 6, n_trees: 10 | M: 5 | , 0.82, 1.00, 0.40, 0.75, 0.80, 0.75, 0.64, 0.00
molec-biol-promoter, BROOF, 7, n_trees: 10 | M: 5 | , 0.80, 0.60, 0.00, 1.00, 0.80, 0.80, 6.83, 0.82
molec-biol-promoter, XGBoost, 7, n_trees: 10 | M: 5 | , 0.80, 0.80, 0.20, 0.80, 0.80, 0.74, 0.60, 0.00
molec-biol-promoter, BROOF, 8, n_trees: 10 | M: 5 | , 0.90, 1.00, 0.20, 0.83, 0.90, 0.83, 6.29, 0.00
molec-biol-promoter, XGBoost, 8, n_trees: 10 | M: 5 | , 0.70, 0.80, 0.40, 0.67, 0.70, 0.63, 0.61, 0.00
molec-biol-promoter, BROOF, 9, n_trees: 10 | M: 2 | , 0.80, 1.00, 0.40, 0.71, 0.80, 0.71, 6.40, 0.00
molec-biol-promoter, XGBoost, 9, n_trees: 10 | M: 2 | , 0.90, 1.00, 0.20, 0.83, 0.90, 0.83, 0.60, 0.00
molec-biol-promoter, BROOF, 10, n_trees: 5 | M: 15 | , 0.60, 0.80, 0.60, 0.57, 0.60, 0.56, 6.01, 1.02
molec-biol-promoter, XGBoost, 10, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.62, 0.00
molec-biol-splice, BROOF, 1, n_trees: 5 | M: 10 | , 0.94, 0.93, 0.03, 0.94, 0.99, 1.00, 15.98, 0.01
molec-biol-splice, XGBoost, 1, n_trees: 5 | M: 10 | , 0.97, 0.97, 0.02, 0.96, 0.99, 1.00, 11.50, 0.03
molec-biol-splice, BROOF, 2, n_trees: 5 | M: 15 | , 0.93, 0.92, 0.04, 0.93, 0.99, 1.00, 15.89, 0.03
molec-biol-splice, XGBoost, 2, n_trees: 5 | M: 15 | , 0.97, 0.97, 0.02, 0.96, 0.99, 1.00, 11.63, 0.01
molec-biol-splice, BROOF, 3, n_trees: 20 | M: 10 | , 0.94, 0.93, 0.03, 0.94, 0.99, 1.00, 19.06, 0.10
molec-biol-splice, XGBoost, 3, n_trees: 20 | M: 10 | , 0.97, 0.96, 0.02, 0.96, 1.00, 1.00, 11.69, 0.01
molec-biol-splice, BROOF, 4, n_trees: 5 | M: 10 | , 0.92, 0.92, 0.04, 0.92, 0.98, 1.00, 11.53, 0.03
molec-biol-splice, XGBoost, 4, n_trees: 5 | M: 10 | , 0.94, 0.94, 0.03, 0.93, 0.99, 1.00, 11.82, 0.01
molec-biol-splice, BROOF, 5, n_trees: 20 | M: 5 | , 0.94, 0.93, 0.03, 0.93, 0.99, 1.00, 17.09, 0.03
molec-biol-splice, XGBoost, 5, n_trees: 20 | M: 5 | , 0.98, 0.99, 0.01, 0.98, 1.00, 1.00, 11.87, 0.03
molec-biol-splice, BROOF, 6, n_trees: 20 | M: 5 | , 0.89, 0.86, 0.07, 0.90, 0.97, 1.00, 16.02, 0.06
molec-biol-splice, XGBoost, 6, n_trees: 20 | M: 5 | , 0.93, 0.92, 0.04, 0.93, 0.98, 1.00, 11.64, 0.00
molec-biol-splice, BROOF, 7, n_trees: 20 | M: 5 | , 0.94, 0.93, 0.04, 0.95, 0.99, 1.00, 12.06, 0.03
molec-biol-splice, XGBoost, 7, n_trees: 20 | M: 5 | , 0.96, 0.95, 0.03, 0.96, 1.00, 1.00, 12.06, 0.00
molec-biol-splice, BROOF, 8, n_trees: 20 | M: 10 | , 0.93, 0.93, 0.03, 0.93, 0.99, 1.00, 15.87, 0.10
molec-biol-splice, XGBoost, 8, n_trees: 20 | M: 10 | , 0.95, 0.95, 0.03, 0.94, 0.99, 1.00, 13.26, 0.03
molec-biol-splice, BROOF, 9, n_trees: 20 | M: 10 | , 0.93, 0.92, 0.04, 0.92, 0.99, 1.00, 12.18, 0.09
molec-biol-splice, XGBoost, 9, n_trees: 20 | M: 10 | , 0.96, 0.96, 0.02, 0.94, 0.99, 1.00, 12.07, 0.03
molec-biol-splice, BROOF, 10, n_trees: 20 | M: 5 | , 0.96, 0.95, 0.02, 0.94, 0.99, 1.00, 14.16, 0.06
molec-biol-splice, XGBoost, 10, n_trees: 20 | M: 5 | , 0.97, 0.97, 0.02, 0.96, 1.00, 1.00, 11.78, 0.00
monks-1, BROOF, 1, n_trees: 15 | M: 2 | , 0.62, 0.32, 0.07, 0.82, 0.63, 0.60, 7.47, 0.00
monks-1, XGBoost, 1, n_trees: 15 | M: 2 | , 0.75, 0.50, 0.00, 1.00, 0.75, 0.75, 0.65, 0.28
monks-1, BROOF, 2, n_trees: 20 | M: 5 | , 0.59, 0.96, 0.79, 0.55, 0.59, 0.55, 5.78, 0.00
monks-1, XGBoost, 2, n_trees: 20 | M: 5 | , 0.61, 1.00, 0.79, 0.56, 0.61, 0.56, 0.75, 0.00
monks-1, BROOF, 3, n_trees: 10 | M: 10 | , 0.86, 0.89, 0.18, 0.83, 0.86, 0.80, 6.46, 0.18
monks-1, XGBoost, 3, n_trees: 10 | M: 10 | , 0.91, 1.00, 0.18, 0.85, 0.91, 0.85, 0.65, 0.00
monks-1, BROOF, 4, n_trees: 5 | M: 2 | , 0.71, 0.43, 0.00, 1.00, 0.71, 0.71, 6.80, 0.00
monks-1, XGBoost, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.66, 0.00
monks-1, BROOF, 5, n_trees: 5 | M: 2 | , 0.96, 1.00, 0.07, 0.93, 0.96, 0.93, 6.35, 0.00
monks-1, XGBoost, 5, n_trees: 5 | M: 2 | , 0.79, 0.57, 0.00, 1.00, 0.79, 0.79, 0.68, 0.00
monks-1, BROOF, 6, n_trees: 10 | M: 15 | , 0.48, 0.43, 0.46, 0.48, 0.48, 0.49, 5.75, 0.18
monks-1, XGBoost, 6, n_trees: 10 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.68, 0.00
monks-1, BROOF, 7, n_trees: 5 | M: 5 | , 0.67, 0.36, 0.00, 1.00, 0.68, 0.68, 6.66, 0.04
monks-1, XGBoost, 7, n_trees: 5 | M: 5 | , 0.35, 0.36, 0.67, 0.36, 0.35, 0.45, 0.67, 0.00
monks-1, BROOF, 8, n_trees: 15 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.27, 0.04
monks-1, XGBoost, 8, n_trees: 15 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.68, 0.00
monks-1, BROOF, 9, n_trees: 10 | M: 2 | , 0.93, 0.85, 0.00, 1.00, 0.93, 0.92, 5.73, 0.15
monks-1, XGBoost, 9, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.69, 0.00
monks-1, BROOF, 10, n_trees: 20 | M: 15 | , 0.69, 0.37, 0.00, 1.00, 0.69, 0.68, 7.33, 0.41
monks-1, XGBoost, 10, n_trees: 20 | M: 15 | , 0.78, 0.56, 0.00, 1.00, 0.78, 0.77, 0.68, 0.00
monks-2, BROOF, 1, n_trees: 5 | M: 5 | , 0.49, 0.19, 0.35, 0.22, 0.42, 0.32, 6.61, 0.03
monks-2, XGBoost, 1, n_trees: 5 | M: 5 | , 0.43, 0.19, 0.45, 0.18, 0.37, 0.31, 0.82, 0.00
monks-2, BROOF, 2, n_trees: 15 | M: 10 | , 0.53, 0.20, 0.30, 0.25, 0.45, 0.32, 6.96, 0.17
monks-2, XGBoost, 2, n_trees: 15 | M: 10 | , 0.50, 0.05, 0.28, 0.08, 0.39, 0.32, 0.82, 0.00
monks-2, BROOF, 3, n_trees: 15 | M: 10 | , 0.67, 0.20, 0.10, 0.50, 0.55, 0.37, 7.22, 0.20
monks-2, XGBoost, 3, n_trees: 15 | M: 10 | , 0.83, 0.60, 0.05, 0.86, 0.78, 0.65, 0.84, 0.02
monks-2, BROOF, 4, n_trees: 20 | M: 15 | , 0.55, 0.00, 0.17, 0.00, 0.41, 0.33, 7.70, 0.47
monks-2, XGBoost, 4, n_trees: 20 | M: 15 | , 0.57, 0.30, 0.30, 0.33, 0.50, 0.33, 0.81, 0.00
monks-2, BROOF, 5, n_trees: 15 | M: 2 | , 0.45, 0.15, 0.40, 0.16, 0.38, 0.31, 6.63, 0.03
monks-2, XGBoost, 5, n_trees: 15 | M: 2 | , 0.47, 0.30, 0.45, 0.25, 0.43, 0.31, 0.82, 0.00
monks-2, BROOF, 6, n_trees: 20 | M: 10 | , 0.60, 0.14, 0.15, 0.33, 0.49, 0.35, 7.51, 0.21
monks-2, XGBoost, 6, n_trees: 20 | M: 10 | , 0.63, 0.19, 0.13, 0.44, 0.53, 0.37, 0.84, 0.00
monks-2, BROOF, 7, n_trees: 15 | M: 10 | , 0.38, 0.05, 0.44, 0.06, 0.31, 0.34, 7.52, 0.17
monks-2, XGBoost, 7, n_trees: 15 | M: 10 | , 0.63, 0.10, 0.08, 0.40, 0.51, 0.35, 0.82, 0.00
monks-2, BROOF, 8, n_trees: 15 | M: 15 | , 0.62, 0.29, 0.21, 0.43, 0.54, 0.37, 7.60, 0.51
monks-2, XGBoost, 8, n_trees: 15 | M: 15 | , 0.52, 0.24, 0.33, 0.28, 0.45, 0.33, 0.93, 0.17
monks-2, BROOF, 9, n_trees: 10 | M: 10 | , 0.87, 0.71, 0.05, 0.88, 0.83, 0.73, 6.96, 0.17
monks-2, XGBoost, 9, n_trees: 10 | M: 10 | , 0.57, 0.43, 0.36, 0.39, 0.53, 0.37, 0.82, 0.17
monks-2, BROOF, 10, n_trees: 15 | M: 15 | , 0.88, 0.76, 0.05, 0.89, 0.86, 0.76, 7.20, 0.34
monks-2, XGBoost, 10, n_trees: 15 | M: 15 | , 0.65, 0.76, 0.41, 0.50, 0.68, 0.46, 0.82, 0.00
monks-3, BROOF, 1, n_trees: 15 | M: 10 | , 0.77, 0.59, 0.04, 0.94, 0.77, 0.77, 7.31, 0.18
monks-3, XGBoost, 1, n_trees: 15 | M: 10 | , 0.64, 0.41, 0.11, 0.80, 0.65, 0.63, 0.59, 0.00
monks-3, BROOF, 2, n_trees: 20 | M: 15 | , 0.75, 0.69, 0.19, 0.80, 0.75, 0.71, 8.02, 0.40
monks-3, XGBoost, 2, n_trees: 20 | M: 15 | , 0.89, 0.93, 0.15, 0.87, 0.89, 0.85, 0.56, 0.00
monks-3, BROOF, 3, n_trees: 10 | M: 5 | , 0.96, 0.93, 0.00, 1.00, 0.97, 0.97, 6.24, 0.09
monks-3, XGBoost, 3, n_trees: 10 | M: 5 | , 0.96, 0.93, 0.00, 1.00, 0.97, 0.97, 0.59, 0.00
monks-3, BROOF, 4, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.58, 0.00
monks-3, XGBoost, 4, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.62, 0.00
monks-3, BROOF, 5, n_trees: 10 | M: 5 | , 0.98, 0.97, 0.00, 1.00, 0.98, 0.98, 6.55, 0.19
monks-3, XGBoost, 5, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.77, 0.00
monks-3, BROOF, 6, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 8.09, 0.11
monks-3, XGBoost, 6, n_trees: 10 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.71, 0.00
monks-3, BROOF, 7, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.73, 0.18
monks-3, XGBoost, 7, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.95, 0.15
monks-3, BROOF, 8, n_trees: 10 | M: 10 | , 0.98, 0.97, 0.00, 1.00, 0.98, 0.98, 9.62, 0.19
monks-3, XGBoost, 8, n_trees: 10 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.64, 0.00
monks-3, BROOF, 9, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.97, 0.04
monks-3, XGBoost, 9, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.61, 0.00
monks-3, BROOF, 10, n_trees: 5 | M: 15 | , 0.98, 0.96, 0.00, 1.00, 0.98, 0.98, 6.85, 0.19
monks-3, XGBoost, 10, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.62, 0.00
mushroom, BROOF, 1, n_trees: 5 | M: 5 | , 0.69, 0.35, 0.00, 1.00, 0.67, 0.66, 21.40, 0.00
mushroom, XGBoost, 1, n_trees: 5 | M: 5 | , 0.69, 0.35, 0.00, 1.00, 0.67, 0.66, 2.77, 0.00
mushroom, BROOF, 2, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 20.07, 0.00
mushroom, XGBoost, 2, n_trees: 5 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.86, 0.00
mushroom, BROOF, 3, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 18.74, 0.00
mushroom, XGBoost, 3, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.92, 0.00
mushroom, BROOF, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 19.71, 0.00
mushroom, XGBoost, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.91, 0.00
mushroom, BROOF, 5, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 19.50, 0.00
mushroom, XGBoost, 5, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.92, 0.00
mushroom, BROOF, 6, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 15.79, 0.00
mushroom, XGBoost, 6, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.93, 0.00
mushroom, BROOF, 7, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 19.89, 0.00
mushroom, XGBoost, 7, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.91, 0.00
mushroom, BROOF, 8, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 16.54, 0.00
mushroom, XGBoost, 8, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.93, 0.00
mushroom, BROOF, 9, n_trees: 5 | M: 5 | , 0.94, 1.00, 0.11, 0.89, 0.94, 0.89, 19.16, 0.01
mushroom, XGBoost, 9, n_trees: 5 | M: 5 | , 0.93, 1.00, 0.13, 0.88, 0.94, 0.88, 2.78, 0.00
mushroom, BROOF, 10, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 21.41, 0.00
mushroom, XGBoost, 10, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 3.19, 0.01
musk-1, BROOF, 1, n_trees: 10 | M: 2 | , 0.71, 0.76, 0.33, 0.64, 0.71, 0.59, 10.14, 0.04
musk-1, XGBoost, 1, n_trees: 10 | M: 2 | , 0.71, 0.86, 0.41, 0.62, 0.72, 0.59, 2.66, 0.00
musk-1, BROOF, 2, n_trees: 20 | M: 10 | , 0.81, 0.81, 0.19, 0.77, 0.81, 0.71, 8.96, 0.38
musk-1, XGBoost, 2, n_trees: 20 | M: 10 | , 0.77, 0.81, 0.26, 0.71, 0.78, 0.66, 2.70, 0.00
musk-1, BROOF, 3, n_trees: 10 | M: 15 | , 0.71, 0.38, 0.04, 0.89, 0.67, 0.61, 10.62, 0.22
musk-1, XGBoost, 3, n_trees: 10 | M: 15 | , 0.65, 0.43, 0.19, 0.64, 0.62, 0.53, 2.65, 0.00
musk-1, BROOF, 4, n_trees: 15 | M: 15 | , 0.73, 0.52, 0.11, 0.79, 0.71, 0.62, 10.96, 0.43
musk-1, XGBoost, 4, n_trees: 15 | M: 15 | , 0.79, 0.76, 0.19, 0.76, 0.79, 0.68, 2.71, 0.04
musk-1, BROOF, 5, n_trees: 15 | M: 15 | , 0.65, 0.43, 0.19, 0.64, 0.62, 0.53, 10.84, 0.38
musk-1, XGBoost, 5, n_trees: 15 | M: 15 | , 0.81, 0.76, 0.15, 0.80, 0.81, 0.71, 2.71, 0.00
musk-1, BROOF, 6, n_trees: 10 | M: 10 | , 0.81, 0.71, 0.11, 0.83, 0.80, 0.72, 11.36, 0.21
musk-1, XGBoost, 6, n_trees: 10 | M: 10 | , 0.73, 0.67, 0.22, 0.70, 0.72, 0.61, 2.71, 0.00
musk-1, BROOF, 7, n_trees: 20 | M: 2 | , 0.77, 0.67, 0.15, 0.78, 0.76, 0.67, 10.50, 0.00
musk-1, XGBoost, 7, n_trees: 20 | M: 2 | , 0.94, 0.86, 0.00, 1.00, 0.93, 0.92, 2.83, 0.00
musk-1, BROOF, 8, n_trees: 15 | M: 2 | , 0.89, 0.75, 0.00, 1.00, 0.88, 0.86, 10.06, 0.00
